"Repair","Asset","AssetID","StartDate","EndDate","Street","Number"
"Repair","Water Main","Wtr-Mn-56800","10/21/2024","10/21/2024","Cypress Dr","4209"
"Repair","Water Main","Wtr-Mn-13300","10/16/2024","10/16/2024","N Flag Chapel Rd","3555"
"Repair","Water Main","Wtr-Mn-25618","9/18/2024","9/18/2024","Brinoy Dr","1425"
"Repair","Water Lateral","Srvc-83977","9/18/2024","9/18/2024","Radcliffe St","1415"
"Repair","Non-Asset","","9/17/2024","9/17/2024","E Woodrow Wilson Ave","1045"
"Repair","Water Main","Wtr-Mn-20278","10/9/2024","10/9/2024","Geeston St.","1402"
"Repair","Water Main","Wtr-Mn-54950","10/8/2024","10/8/2024","Old Byram Rd","5437"
"Repair","Water Main","Wtr-Mn-17929","10/17/2024","10/17/2024","Watkins Dr","4857"
"Repair","Water Lateral","Srvc-45912","10/18/2024","10/18/2024","Mallory Dr","319"
"Repair","Water Main","Wtr-Mn-1777","10/22/2024","10/22/2024","w. McDowell Rd","1424"
"Repair","Water Main","Wtr-Mn-30287","9/17/2024","9/17/2024","Halsey Ave","4202"
"Repair","Water Main","Wtr-Mn-1229","10/17/2024","10/17/2024","Riverside Dr","2304"
"Repair","Water Lateral","Srvc-3227","9/18/2024","9/18/2024","Peachtree St","1917"
"Repair","Water Lateral","Srvc-94303","10/18/2024","10/16/2024","Killarney St","1136"
"Repair","Non-Asset","","10/4/2024","10/4/2024","Wooddell Dr","1108"
"Repair","Water Main","Wtr-Mn-5313","8/26/2024","8/26/2024","N State St","1405"
"Repair","Water Main","Wtr-Mn-37116","10/22/2024","10/22/2024","Voorhees Ave","1031"
"Repair","Water Main","Wtr-Mn-34723","10/18/2024","10/18/2024","Gallilee St","265"
"Repair","Water Main","Wtr-Mn-31411","10/18/2024","10/18/2024","Lorraine St","718"
"Repair","Water Main","Wtr-Mn-18286","10/18/2024","10/18/2024","Evans Dr","140"
"Repair","Water Main","Wtr-Mn-6886","9/19/2024","9/19/2024","Greenbriar St.","1102"
"Repair","Water Main","Wtr-Mn-5418","10/21/2024","10/21/2024","Parkside Pl.","229"
"Repair","Water Main","Wtr-Mn-56743","10/17/2024","10/17/2024","Kelly Cv","124"
"Repair","Water Hydrant","Fr-Hydrnt-3010","10/21/2024","10/21/2024","",""
"Repair","Water Lateral","Srvc-18602","8/29/2024","8/29/2024","Medgar Evers Blvd","3153"
"Repair","Non-Asset","","10/10/2024","10/10/2024","Madison St","910"
"Repair","Water Main","Wtr-Mn-52090","9/21/2024","9/21/2024","Fieldtree Ct","101"
"Repair","Non-Asset","","9/24/2024","9/24/2024","Raulston Dr","188"
"Repair","Water Main","Wtr-Mn-4039","10/22/2024","10/22/2024","",""
"Repair","Water Main","Wtr-Mn-21715","8/21/2024","8/21/2024","Ferntree Dr","1250"
"Repair","Water Main","Wtr-Mn-12959","10/21/2024","10/21/2024","Wade Ct","3"
"Repair","Water Main","Wtr-Mn-18286","7/31/2024","7/31/2024","Evans Dr","118"
"Repair","Water Main","Wtr-Mn-52793","8/22/2024","8/22/2024","Fernwood Dr","408"
"Repair","Water Lateral","Srvc-86506","10/20/2024","10/20/2024","Dory St","419"
"Repair","Water Main","Wtr-Mn-10543","9/19/2024","9/19/2024","Aberdeen St","1250"
"Repair","Water Main","Wtr-Mn-34066","10/17/2024","10/17/2024","Gibralter Dr","1741"
"Repair","Water Main","Wtr-Mn-10722","10/8/2024","10/8/2024","N. Flag Chapel Rd.","304"
"Repair","Water Main","Wtr-Mn-2429","10/17/2024","10/17/2024","Greymont Ave","1140"
"Repair","Water Main","Wtr-Mn-38684","9/18/2024","9/18/2024","Whitestone Rd","6172"
"Repair","Water Main","Wtr-Mn-32012","6/3/2024","6/3/2024","Norway Dr","4603"
"Repair","Water Main","Wtr-Mn-8360","6/3/2024","6/3/2024","Winchester St","1683"
"Repair","Water Main","Wtr-Mn-33185","6/3/2024","6/3/2024","Overlook Pl","4151"
"Repair","Water Lateral","Srvc-36679","5/24/2024","6/3/2024","Pebble Cv","707"
"Repair","Water Main","Wtr-Mn-37748","6/3/2024","6/3/2024","Turtle Creek Dr","227"
"Repair","Water Main","Wtr-Mn-12891","5/29/2024","6/3/2024","Lake Trace Cir","6008"
"Repair","Water Main","Wtr-Mn-56312","6/4/2024","6/4/2024","Killarney St","1116"
"Repair","Water Main","Wtr-Mn-8364","5/28/2024","6/4/2024","Winchester St","1428"
"Repair","Water Main","Wtr-Mn-41675","6/4/2024","6/4/2024","Elaine St","1960"
"Repair","Water Main","Wtr-Mn-6960","5/15/2024","6/4/2024","E Ridge Dr","4352"
"Repair","Water Main","Wtr-Mn-12393","5/30/2024","6/4/2024","George Washington Dr","6624"
"Repair","Water Main","Wtr-Mn-26255","5/22/2024","6/4/2024","Old Bridge Cv","22"
"Repair","Water Main","Wtr-Mn-8360","5/29/2024","6/4/2024","Winchester St","1686"
"Repair","Water Main","Wtr-Mn-28356","5/29/2024","6/4/2024","Brookwood Pl","4963"
"Repair","Water Lateral","Srvc-67992","5/30/2024","6/4/2024","Plummer Cir","112"
"Repair","Water Main","Wtr-Mn-37112","5/29/2024","6/4/2024","Miller Ave","2703"
"Repair","Water Main","Wtr-Mn-33154","5/28/2024","6/4/2024","Castlewood Cir","5393"
"Repair","Water Main","Wtr-Mn-14864","5/31/2024","6/4/2024","Inge St","933"
"Repair","Water Main","Wtr-Mn-37672","5/30/2024","6/4/2024","Summit Ave","1401"
"Repair","Water Main","Wtr-Mn-14709","5/28/2024","6/4/2024","W Monument St","510"
"Repair","Water Main","Wtr-Mn-8541","5/29/2024","6/4/2024","Palmyra St","810"
"Repair","Water Main","Wtr-Mn-30470","6/1/2024","6/4/2024","Abraham Lincoln Dr","6372"
"Repair","Water Main","Wtr-Mn-29757","6/5/2024","6/5/2024","Wynwood Dr","1026"
"Repair","Water Main","Wtr-Mn-54270","6/5/2024","6/5/2024","Branch St","926"
"Repair","Water Main","Wtr-Mn-25158","5/29/2024","6/5/2024","Valley Ridge Dr","237"
"Repair","Water Lateral","Srvc-91107","6/5/2024","6/6/2024","Gary Rd","7319"
"Repair","Water Lateral","Srvc-68210","5/16/2024","6/6/2024","Maria Dr","1438"
"Repair","Water Main","Wtr-Mn-33185","6/6/2024","6/6/2024","Overlook Pl","4151"
"Repair","Water Main","Wtr-Mn-48574","6/5/2024","6/6/2024","Raymond Rd","386"
"Repair","Water Main","Wtr-Mn-5211","6/5/2024","6/6/2024","Windsor Dr","342"
"Repair","Water Lateral","Srvc-77178","6/6/2024","6/6/2024","Rolling Meadows Dr","161"
"Repair","Water Main","Wtr-Mn-27407","6/6/2024","6/6/2024","Coronet Pl","2529"
"Repair","Water Lateral","Srvc-77179","6/6/2024","6/6/2024","W McDowell Rd","1165"
"Repair","Water Main","Wtr-Mn-5292","5/20/2024","6/6/2024","Estelle Dr","4600"
"Repair","Water Lateral","Srvc-18839","6/6/2024","6/6/2024","Livingston Rd","3410"
"Repair","Water Main","Wtr-Mn-34786","5/24/2024","6/6/2024","Bass Ave","1478"
"Repair","Water Main","Wtr-Mn-6617","6/7/2024","6/7/2024","W Capitol St","1260"
"Repair","Water Main","Wtr-Mn-37981","5/24/2024","6/7/2024","Smallwood St","1757"
"Repair","Water Main","Wtr-Mn-12591","6/5/2024","6/7/2024","Vine St","1223"
"Repair","Water Main","Wtr-Mn-21746","5/2/2024","6/7/2024","Rolling Meadows Dr","161"
"Repair","Water Main","Wtr-Mn-56109","6/6/2024","6/7/2024","Richmond Grove Rd","6973"
"Repair","Water Main","Wtr-Mn-53513","6/4/2024","6/7/2024","S West St","785"
"Repair","Water Meter","1","6/10/2024","6/10/2024","Woodlake Drive","1054"
"Repair","Water Meter","1","6/10/2024","6/10/2024","Mimosa Drive","5441"
"Repair","Non-Asset","","6/10/2024","6/10/2024","Northwood Circle","1927"
"Repair","Water Main","Wtr-Mn-1413","5/21/2024","6/10/2024","S Gallatin St","2642"
"Repair","Water Lateral","Srvc-21755","6/10/2024","6/10/2024","Harris St","761"
"Repair","Non-Asset","","6/10/2024","6/10/2024","Carleton St","2729"
"Repair","Water Main","Wtr-Mn-2542","6/11/2024","6/11/2024","Wightman St","1803"
"Repair","Water Meter","1","6/11/2024","6/11/2024","E McDowell Rd","1090"
"Repair","Water Hydrant","Fr-Hydrnt-5465","5/29/2024","6/11/2024","Sun Valley Rd","5108"
"Repair","Water Main","Wtr-Mn-41715","6/11/2024","6/11/2024","E McDowell Rd","1090"
"Repair","Water Main","Wtr-Mn-7672","6/3/2024","6/11/2024","Neatherwood Dr","128"
"Repair","Water Main","Wtr-Mn-52250","6/10/2024","6/11/2024","N Siwell Rd","1075"
"Repair","Water Main","Wtr-Mn-52247","6/10/2024","6/11/2024","",""
"Repair","Non-Asset","","6/11/2024","6/12/2024","Douglas Dr.","1936"
"Repair","Water Main","Wtr-Mn-41261","6/12/2024","6/12/2024","Whitehill Dr","5906"
"Repair","Non-Asset","","6/13/2024","6/13/2024","Windy Hill Cv","137"
"Repair","Non-Asset","","6/13/2024","6/13/2024","Robinson St","4273"
"Repair","Water Main","Wtr-Mn-51699","6/13/2024","6/13/2024","Windy Hill Cv","125"
"Repair","Water Main","Wtr-Mn-12602","6/14/2024","6/14/2024","Harding St","802"
"Repair","Water Main","Wtr-Mn-34372","6/15/2024","6/15/2024","Tifton Dr","600"
"Repair","Non-Asset","","6/16/2024","6/16/2024","Belvedere Dr","2431"
"Repair","Water Main","Wtr-Mn-18112","6/16/2024","6/17/2024","W Capitol St","2622"
"Repair","Water Main","Wtr-Mn-8946","6/17/2024","6/17/2024","Maple St","505"
"Repair","Water Main","Wtr-Mn-46960","6/14/2024","6/17/2024","Peterson Dr","3106"
"Repair","Water Main","Wtr-Mn-31701","6/14/2024","6/17/2024","Smallwood St","1716"
"Repair","Water Lateral","Srvc-12257","6/12/2024","6/18/2024","Eastparke Cv","2"
"Repair","Water Lateral","Srvc-94360","6/18/2024","6/18/2024","Oakview Dr","3328"
"Repair","Water Main","Wtr-Mn-19189","6/4/2024","6/18/2024","Forest Park Dr","4351"
"Repair","Water Main","Wtr-Mn-28928","6/18/2024","6/18/2024","Fox Glenn Rd","5017"
"Repair","Water Main","Wtr-Mn-28494","6/14/2024","6/18/2024","I 55 Frontage Rd S","3029"
"Repair","Water Main","Wtr-Mn-28928","6/18/2024","6/18/2024","Fox Glenn Rd","5016"
"Repair","Water Lateral","Srvc-91242","6/7/2024","6/18/2024","Terry Rd","2301"
"Repair","Water Main","Wtr-Mn-32303","6/18/2024","6/18/2024","Newburg Pl","125"
"Repair","Non-Asset","","6/17/2024","6/18/2024","Maple Street","704"
"Repair","Water Lateral","Srvc-72719","6/10/2024","6/20/2024","Van Buren Rd","6530"
"Repair","Non-Asset","","6/13/2024","6/20/2024","Windy hill cv","163"
"Repair","Water Main","Wtr-Mn-10563","6/20/2024","6/20/2024","Marcus L Butler Dr","523"
"Repair","Water Lateral","Srvc-38728","6/19/2024","6/20/2024","Lowery Ln","1560"
"Repair","Water Main","Wtr-Mn-25231","6/20/2024","6/20/2024","Heritage Pl","391"
"Repair","Water Main","Wtr-Mn-2153","6/24/2024","6/24/2024","Roosevelt St","201"
"Repair","Water Main","Wtr-Mn-34295","6/13/2024","6/24/2024","Reaves St","805"
"Repair","Water Main","Wtr-Mn-6305","6/20/2024","6/24/2024","Massena Dr","2436"
"Repair","Water Main","Wtr-Mn-20986","6/17/2024","6/24/2024","McDowell Cir","1130"
"Repair","Water Main","Wtr-Mn-27855","6/11/2024","6/24/2024","Corey Dr","3218"
"Repair","Water Main","Wtr-Mn-36268","6/13/2024","6/24/2024","Jamestown Ct","112"
"Repair","Water Main","Wtr-Mn-8013","6/17/2024","6/24/2024","Eastparke Cv","13"
"Repair","Water Main","Wtr-Mn-6635","6/24/2024","6/24/2024","W Cheryl Dr","4630"
"Repair","Water Main","Wtr-Mn-3524","6/19/2024","6/24/2024","Pinehurst Pl","1103"
"Repair","Water Main","Wtr-Mn-18536","6/23/2024","6/24/2024","J.R. Lynch St",""
"Repair","Water Main","Wtr-Mn-26680","6/11/2024","6/24/2024","Sedgwick Dr","5780"
"Repair","Water Main","Wtr-Mn-44776","6/21/2024","6/24/2024","Woodlake Dr","858"
"Repair","Water Main","Wtr-Mn-23250","6/20/2024","6/24/2024","Englewood St","228"
"Repair","Water Main","Wtr-Mn-38385","6/14/2024","6/24/2024","W Woodcrest Dr","139"
"Repair","Water Main","Wtr-Mn-40644","6/5/2024","6/24/2024","Tanglewood Dr","6210"
"Repair","Water Main","Wtr-Mn-10574","6/7/2024","6/24/2024","Corinth St","1156"
"Repair","Water Main","Wtr-Mn-2124","6/11/2024","6/24/2024","Brief St","1419"
"Repair","Water Lateral","Srvc-43084","6/21/2024","6/24/2024","Luter Ln","1533"
"Repair","Water Main","Wtr-Mn-22958","6/23/2024","6/24/2024","Myer Ave","244"
"Repair","Water Main","Wtr-Mn-34934","6/19/2024","6/24/2024","Arbor Hill Dr","2840"
"Repair","Water Lateral","Srvc-21055","6/20/2024","6/24/2024","Brookhollow Dr","5433"
"Repair","Water Main","Wtr-Mn-53964","6/11/2024","6/24/2024","E Capitol St","248"
"Repair","Water Main","Wtr-Mn-39333","6/19/2024","6/24/2024","Powell Cv","440"
"Repair","Water Main","Wtr-Mn-33154","5/28/2024","6/24/2024","Wildwood Dr","4352"
"Repair","Water Lateral","Srvc-46556","6/24/2024","6/24/2024","Greenwing Ct","16"
"Repair","Water Main","Wtr-Mn-22578","6/21/2024","6/24/2024","Angela Cir","2926"
"Repair","Water Main","Wtr-Mn-7197","6/7/2024","6/24/2024","Eastover Dr","3839"
"Repair","Water Main","Wtr-Mn-13718","6/13/2024","6/25/2024","Pepper Ridge Rd","5749"
"Repair","Water Main","Wtr-Mn-42335","6/12/2024","6/25/2024","Palm St","953"
"Repair","Non-Asset","","6/11/2024","6/25/2024","E McDowell Rd","1090"
"Repair","Water Main","Wtr-Mn-41676","6/21/2024","6/25/2024","Elaine St","1966"
"Repair","Water Main","Wtr-Mn-9895","6/25/2024","6/25/2024","Moon St","191"
"Repair","Water Main","Wtr-Mn-52839","6/6/2024","6/25/2024","Winnwood St","533"
"Repair","Water Lateral","Srvc-50665","6/21/2024","6/25/2024","",""
"Repair","Water Main","Wtr-Mn-53081","5/24/2024","6/25/2024","N Shellrock Rd","3502"
"Repair","Water Main","Wtr-Mn-553","5/16/2024","6/25/2024","E McDowell Rd","1090"
"Repair","Water Main","Wtr-Mn-40962","6/26/2024","6/26/2024","Wynndyke Cir","2419"
"Repair","Water Main","Wtr-Mn-56806","6/24/2024","6/26/2024","Wildwood Dr","4433"
"Repair","Water Main","Wtr-Mn-46953","6/26/2024","6/26/2024","Peterson Dr","3190"
"Repair","Water Hydrant","Fr-Hydrnt-3809","6/26/2024","6/26/2024","baxter dr","5988"
"Repair","Water Lateral","Srvc-35209","6/21/2024","6/26/2024","Canal St","915"
"Repair","Water Lateral","Srvc-12126","6/26/2024","6/26/2024","Greenwood Ave","3065"
"Repair","Water Lateral","Srvc-35321","6/18/2024","6/26/2024","Boling St","855"
"Repair","Water Main","Wtr-Mn-37664","6/26/2024","6/26/2024","Pyle Ave","4305"
"Repair","Water Lateral","Srvc-46527","6/26/2024","6/26/2024","Greenwing Ct","21"
"Repair","Water Main","Wtr-Mn-12217","6/26/2024","6/26/2024","Brookhollow Dr","5286"
"Repair","Water Lateral","Srvc-74694","6/26/2024","6/26/2024","Cedars of Lebanon Rd","349"
"Repair","Water Lateral","Srvc-38575","6/20/2024","6/26/2024","Briarfield Rd","5495"
"Repair","Water Lateral","Srvc-53142","6/25/2024","6/26/2024","N Honeysuckle Ln","4306"
"Repair","Water Main","Wtr-Mn-56806","6/20/2024","6/27/2024","Wildwood Dr","4433"
"Repair","Water Main","Wtr-Mn-42262","6/27/2024","6/27/2024","Turtle Creek Dr","227"
"Repair","Water Main","Wtr-Mn-19082","6/24/2024","6/27/2024","W McDowell Rd","2140"
"Repair","Water Main","Wtr-Mn-26694","6/20/2024","6/27/2024","Beasley Rd","1041"
"Repair","Non-Asset","","6/27/2024","6/27/2024","Turtle Creek Drive","227"
"Repair","Water Main","Wtr-Mn-7672","6/27/2024","6/27/2024","Neatherwood Dr","128"
"Repair","Water Main","Wtr-Mn-34406","6/26/2024","6/27/2024","Riverbend Dr","485"
"Repair","Water Main","Wtr-Mn-54691","6/24/2024","6/27/2024","Oaklawn Dr","3918"
"Repair","Water Main","Wtr-Mn-45810","6/27/2024","6/27/2024","Barnes St","313"
"Repair","Water Main","Wtr-Mn-34521","6/20/2024","6/27/2024","Rebel Cir","185"
"Repair","Water Main","Wtr-Mn-7672","6/27/2024","6/27/2024","Neatherwood Dr","132"
"Repair","Water Lateral","Srvc-61309","6/26/2024","6/28/2024","Hunter Ln","790"
"Repair","Water Main","Wtr-Mn-39367","6/26/2024","6/28/2024","Forest Woods Dr","728"
"Repair","Water Main","Wtr-Mn-3527","6/25/2024","6/28/2024","Pinehurst Pl","1024"
"Repair","Water Main","Wtr-Mn-56356","6/28/2024","6/28/2024","Offutt St","155"
"Repair","Non-Asset","","6/28/2024","6/28/2024","Paden St","2009"
"Repair","Water Lateral","Srvc-12070","6/25/2024","6/28/2024","Regency Ct","4322"
"Repair","Water Lateral","Srvc-27794","7/1/2024","7/1/2024","Old Spanish Trl","359"
"Repair","Water Main","Wtr-Mn-2737","7/1/2024","7/1/2024","Highway 80 W","2233"
"Repair","Water Lateral","Srvc-62407","7/1/2024","7/1/2024","Suncrest Dr","3358"
"Repair","Non-Asset","","7/1/2024","7/1/2024","Cummins St","515"
"Repair","Water Main","Wtr-Mn-56977","6/20/2024","7/1/2024","Speaks Rd","1501"
"Repair","Non-Asset","","6/14/2024","7/1/2024","La Salle St","2902"
"Repair","Water Main","Wtr-Mn-18286","7/1/2024","7/1/2024","Evans Dr","140"
"Repair","Water Main","Wtr-Mn-13046","6/14/2024","7/1/2024","Vernon Cir","1535"
"Repair","Non-Asset","","6/16/2024","7/1/2024","W Capitol St","2616"
"Repair","Non-Asset","","7/1/2024","7/1/2024","Coronet Pl","2502"
"Repair","Water Main","Wtr-Mn-52200","7/1/2024","7/1/2024","Riverview Dr","1036"
"Repair","Water Main","Wtr-Mn-37785","6/24/2024","7/2/2024","Gunda St","2429"
"Repair","Non-Asset","","6/28/2024","7/2/2024","Fairhill Dr","2322"
"Repair","Water Main","Wtr-Mn-3283","7/2/2024","7/2/2024","Autumn Cv","3"
"Repair","Water Main","Wtr-Mn-6635","7/2/2024","7/2/2024","W Cheryl Dr","4630"
"Repair","Water Main","Wtr-Mn-35803","6/28/2024","7/2/2024","Martin Luther King Jr Dr","2428"
"Repair","Non-Asset","","7/2/2024","7/2/2024","Laucelot Rd","764"
"Repair","Water Lateral","Srvc-78970","7/2/2024","7/2/2024","McCluer Rd","1040"
"Repair","Water Lateral","Srvc-87322","7/2/2024","7/2/2024","Boozier Dr","3977"
"Repair","Water Main","Wtr-Mn-14825","7/2/2024","7/2/2024","S State St","929"
"Repair","Water Lateral","Srvc-24469","7/2/2024","7/2/2024","Barrett Ave","2194"
"Repair","Non-Asset","","7/2/2024","7/2/2024","Will O Wisp Way","1903"
"Repair","Water Main","Wtr-Mn-2426","6/28/2024","7/2/2024","Poplar Blvd","944"
"Repair","Water Main","Wtr-Mn-439","6/11/2024","7/2/2024","I 55 S","5354"
"Repair","Water Main","Wtr-Mn-38385","7/2/2024","7/2/2024","W Woodcrest Dr","139"
"Repair","Non-Asset","","7/2/2024","7/2/2024","Laucelot Rd","740"
"Repair","Non-Asset","","7/2/2024","7/2/2024","W McDowell","943"
"Repair","Water Main","Wtr-Mn-33018","6/6/2024","7/2/2024","Azalea Dr","3827"
"Repair","Non-Asset","","7/3/2024","7/3/2024","Cedarhurst Rd","640"
"Repair","Non-Asset","","7/3/2024","7/3/2024","Kirkley Dr","516"
"Repair","Non-Asset","","7/3/2024","7/3/2024","Woodward Ave","515"
"Repair","Water Lateral","Srvc-74896","7/3/2024","7/3/2024","Owens Oak Dr","2101"
"Repair","Non-Asset","","7/3/2024","7/3/2024","Valley Rige Dr","114"
"Repair","Water Main","Wtr-Mn-2421","6/25/2024","7/3/2024","Livingston St","311"
"Repair","Non-Asset","","7/3/2024","7/3/2024","Hanging Moss Circle","434"
"Repair","Non-Asset","","7/3/2024","7/3/2024","N Park Dr","502"
"Repair","Water Main","Wtr-Mn-2227","7/6/2024","7/6/2024","Duncan Ave","333"
"Repair","Water Main","Wtr-Mn-2385","7/7/2024","7/7/2024","Whitfield St","140"
"Repair","Water Main","Wtr-Mn-37103","7/1/2024","7/8/2024","Miller Ave","2703"
"Repair","Water Main","Wtr-Mn-27016","7/2/2024","7/8/2024","Maple Ridge Dr","129"
"Repair","Water Main","Wtr-Mn-26943","7/3/2024","7/8/2024","Cherry Hill Dr","134"
"Repair","Non-Asset","","7/8/2024","7/8/2024","Stillwood dr","324"
"Repair","Non-Asset","","7/8/2024","7/8/2024","Redmond Ave","3407"
"Repair","Water Main","Wtr-Mn-34480","7/3/2024","7/8/2024","Forest Hill Rd","3420"
"Repair","Water Lateral","Srvc-74887","7/2/2024","7/8/2024","Brookwood Dr","2706"
"Repair","Water Main","Wtr-Mn-31447","7/2/2024","7/8/2024","Newman Ave","3664"
"Repair","Water Main","Wtr-Mn-48710","7/2/2024","7/8/2024","Newman Ave","3664"
"Repair","Water Hydrant","Fr-Hydrnt-1727","7/1/2024","7/8/2024","Greenwood Ave","3047"
"Repair","Water Main","Wtr-Mn-10487","7/8/2024","7/8/2024","Aberdeen St","1118"
"Repair","Water Lateral","Srvc-42839","7/3/2024","7/8/2024","Brannan Ave","256"
"Repair","Water Main","Wtr-Mn-2191","7/8/2024","7/9/2024","Watson Rd","16"
"Repair","Water Lateral","Srvc-40372","7/9/2024","7/9/2024","Claiborne Ave","1012"
"Repair","Non-Asset","","7/8/2024","7/9/2024","Fairbanks St","160"
"Repair","Water Main","Wtr-Mn-13164","6/25/2024","7/9/2024","",""
"Repair","Non-Asset","","7/9/2024","7/9/2024","Dolphin Dr","5569"
"Repair","Water Main","Wtr-Mn-39381","7/9/2024","7/9/2024","One Park Pl","251"
"Repair","Water Lateral","Srvc-68967","7/8/2024","7/9/2024","Queen Theresa Ln","455"
"Repair","Water Hydrant","Fr-Hydrnt-7709","7/5/2024","7/10/2024","Willaneel Dr","1931"
"Repair","Water Main","Wtr-Mn-46898","7/2/2024","7/10/2024","Woodmont Dr","5038"
"Repair","Non-Asset","","7/10/2024","7/10/2024","Aberdeen St","1114"
"Repair","Water Lateral","Srvc-34790","7/10/2024","7/10/2024","Woodcliff Dr","313"
"Repair","Water Main","Wtr-Mn-38385","7/10/2024","7/10/2024","W Woodcrest Dr","146"
"Repair","Water Main","Wtr-Mn-39068","7/10/2024","7/10/2024","Westbury Sq","1075"
"Repair","Water Main","Wtr-Mn-12564","7/8/2024","7/10/2024","Ferncreek Dr","5895"
"Repair","Non-Asset","","7/8/2024","7/10/2024","Aberdeen St","1118"
"Repair","Water Main","Wtr-Mn-4986","7/10/2024","7/10/2024","Ellis Ave","1731"
"Repair","Water Main","Wtr-Mn-26696","7/10/2024","7/10/2024","Riviera Dr","280"
"Repair","Water Lateral","Srvc-30379","7/9/2024","7/11/2024","Summer St","958"
"Repair","Water Main","Wtr-Mn-37796","7/11/2024","7/11/2024","J R Lynch St","3004"
"Repair","Water Main","Wtr-Mn-33032","7/11/2024","7/11/2024","Reddix St","1501"
"Repair","Non-Asset","","7/10/2024","7/11/2024","Lake Shore Dr","1176"
"Repair","Water Main","Wtr-Mn-8821","7/10/2024","7/11/2024","Jennings St","335"
"Repair","Water Main","Wtr-Mn-53577","7/11/2024","7/11/2024","Park Ave","1559"
"Repair","Non-Asset","","7/8/2024","7/11/2024","Duncan Ave","350"
"Repair","Water Main","Wtr-Mn-53577","7/11/2024","7/11/2024","Park Avenue","1559"
"Repair","Water Main","Wtr-Mn-39066","7/11/2024","7/11/2024","Westbury Sq","1039"
"Repair","Water Main","Wtr-Mn-40187","7/2/2024","7/11/2024","Englewood Blvd","2846"
"Repair","Water Main","Wtr-Mn-3869","7/10/2024","7/11/2024","Belvedere Rd","639"
"Repair","Water Lateral","Srvc-29563","7/9/2024","7/12/2024","Dansby St","1500"
"Repair","Water Main","Wtr-Mn-20182","7/12/2024","7/12/2024","Bailey Ave","1723"
"Repair","Water Main","Wtr-Mn-39853","7/12/2024","7/12/2024","Woodside Dr","2686"
"Repair","Water Main","Wtr-Mn-5182","7/12/2024","7/12/2024","S Prentiss St","1034"
"Repair","Water Lateral","Srvc-20832","7/12/2024","7/12/2024","Carolyn Ave","123"
"Repair","Water Lateral","Srvc-88486","7/13/2024","7/13/2024","Forbes Cv","219"
"Repair","Water Main","Wtr-Mn-12560","7/13/2024","7/13/2024","Ferncreek Dr","5915"
"Repair","Water Main","Wtr-Mn-2445","7/13/2024","7/13/2024","Edgewood St","1728"
